Word,Score
basis,8517.44
torus,8450.3
bonus,8305.72
saner,7780.45
boney,7609.93
crass,7592.62
brass,7591.14
focus,7407.86
minus,7390.7
money,7390.41
locus,7378.83
chaos,7358.69
parer,7347.62
class,7343.96
gooey,7342.39
grass,7321.18
cross,7311.3
matey,7232.17
payee,7215.73
corer,7202.18
cress,7200.78
honey,7191.61
cagey,7188.8
virus,7173.95
fetus,7161.14
press,7156.35
guess,7152.94
bliss,7137.1
puree,7118.41
rarer,7103.3
dross,7085.82
glass,7072.52
gross,7039.86
baler,7027.21
melee,6997.19
siren,6992.95
safer,6984.69
paler,6984.26
dress,6975.3
sober,6958.09
bless,6950.64
truss,6923.84
panel,6922.17
surer,6916.37
saute,6909.03
rebus,6898.51
sower,6886.82
covey,6880.15
piney,6871.48
salty,6848.17
sorry,6839.04
spree,6825.11
cater,6811.99
sooty,6792.13
gloss,6791.2
chess,6789.81
scree,6785.54
dopey,6775.19
beret,6772.71
floss,6752.14
sally,6733.85
ficus,6712.36
goner,6698.79
tepee,6650.01
amass,6639.85
cadet,6638.04
tamer,6610.85
soapy,6607.79
mucus,6591.2
nosey,6582.57
comet,6569.29
salad,6564.46
sandy,6556.19
caper,6549.36
party,6546.75
borne,6532.86
humus,6520.84
semen,6508.65
camel,6506.2
paper,6504.93
poser,6484.84
harem,6484.65
wooer,6476.05
later,6472.46
taper,6460.51
baker,6455.36
tenet,6453.39
lupus,6450.77
three,6439.42
amiss,6434.47
cameo,6433.77
gamer,6428.26
sauce,6424.98
valet,6418.45
parse,6415.94
carry,6408.56
canoe,6405.46
sewer,6399.37
hater,6392.19
saint,6383.61
sever,6371.87
taker,6367.99
parry,6364.13
barge,6353.13
bagel,6352.64
payer,6348.91
sonar,6337.08
salve,6336.84
facet,6320.22
forte,6316.45
water,6315.39
corny,6308.7
covet,6298.43
shied,6297.13
sinew,6292.04
sadly,6283.74
racer,6282.51
foray,6279.36
ramen,6276.87
canny,6266.62
cower,6266.47
purer,6251.59
cover,6238.97
seven,6237.79
maker,6235.84
taken,6233.91
eater,6232.49
poker,6222.54
power,6222.04
lager,6208.09
motel,6207.62
solar,6205.67
saucy,6199.34
carat,6198.01
loser,6189.74
marry,6187.56
suite,6187.55
sassy,6182.17
tower,6177.62
sense,6171.45
booty,6170.3
sleet,6163.52
solid,6160.96
solve,6146.97
caste,6143.91
baste,6142.43
boxer,6127.07
gayer,6121.9
laden,6104.97
coven,6104.89
dicey,6101.59
beset,6099.8
paste,6099.48
eaten,6098.41
daily,6097.79
warty,6094.58
forty,6090.81
homer,6090.03
cried,6087.75
carve,6079.85
golem,6079.78
tardy,6078.94
super,6073.68
poise,6072.48
bowel,6071.49
roger,6069.0
savoy,6068.91
gazer,6057.72
rainy,6056.23
taste,6055.06
layer,6053.81
miner,6053.73
gaily,6051.83
wager,6051.02
diner,6049.25
totem,6045.67
mower,6045.47
token,6044.04
pried,6043.32
rupee,6031.4
dairy,6029.49
tally,6024.65
manly,6023.91
serve,6022.88
farce,6022.27
raise,6018.03
mover,6017.97
lapel,6016.33
large,6015.08
catty,6011.12
batty,6009.64
hotel,6008.82
raven,6006.01
sheet,6001.21
surly,6001.18
tried,5998.9
label,5994.58
harry,5988.76
towel,5984.12
boule,5983.01
rower,5977.72
model,5974.21
spied,5973.62
eager,5968.12
patty,5966.69
finer,5964.23
gavel,5963.9
pansy,5958.35
fanny,5956.12
voter,5952.42
rover,5950.22
easel,5946.14
fairy,5944.47
sauna,5943.06
sheer,5941.75
betel,5939.69
candy,5935.84
liner,5935.2
waver,5932.24
cause,5932.23
sound,5928.65
beget,5928.28
lower,5926.94
tatty,5922.27
slate,5920.67
crier,5918.83
meter,5913.67
deter,5909.19
alley,5907.78
sappy,5903.18
mange,5901.66
creed,5901.29
breed,5899.81
lover,5899.44
early,5897.36
latte,5897.23
salon,5893.5
gorge,5893.3
foyer,5892.97
filet,5892.28
horny,5888.9
dally,5888.02
pause,5887.8
lorry,5879.16
women,5879.15
surge,5878.93
dance,5875.34
haven,5874.96
pasty,5873.84
agree,5871.07
haute,5868.88
wafer,5867.74
dried,5862.27
singe,5857.64
daisy,5855.66
sooth,5855.11
forge,5854.24
horse,5850.7
silly,5848.48
dowel,5847.49
salsa,5844.0
seize,5842.47
cable,5838.06
since,5835.8
hairy,5835.17
cease,5834.84
rodeo,5834.03
range,5833.91
filer,5832.82
force,5832.4
satin,5831.13
tasty,5829.42
pouty,5828.74
palsy,5826.94
rally,5824.75
moose,5819.97
hover,5819.17
reset,5812.53
route,5810.06
tangy,5808.17
sheen,5807.67
linen,5801.12
board,5796.74
steed,5795.72
plied,5794.66
sunny,5790.94
bused,5790.55
speed,5787.16
false,5786.51
horde,5783.76
dozen,5779.73
fried,5777.25
worse,5773.9
seedy,5770.77
penne,5770.51
goose,5769.53
lance,5761.29
coral,5755.18
sneer,5750.39
belie,5749.58
siege,5749.54
table,5749.21
hardy,5747.99
tease,5745.99
meaty,5744.65
tarot,5741.2
balmy,5731.89
berry,5729.76
timer,5725.48
haste,5724.11
ratty,5722.37
worry,5722.09
paint,5718.83
hazel,5715.86
soggy,5715.02
canal,5713.1
banal,5711.62
dandy,5710.36
harpy,5705.72
loose,5701.44
fatty,5700.62
dolly,5698.15
sleek,5694.47
terse,5694.2
teary,5694.18
drier,5693.35
cider,5693.21
waxen,5687.74
today,5687.54
modem,5680.11
shrew,5678.76
nanny,5678.74
maize,5678.44
oaken,5676.5
mangy,5676.02
taint,5674.41
skier,5672.91
peace,5662.81
badly,5661.91
poesy,5660.38
belle,5660.34
suave,5655.96
golly,5652.19
bleed,5651.15
foamy,5648.15
navel,5647.46
waste,5647.31
randy,5647.09
shale,5644.04
ruler,5643.91
maple,5638.81
sully,5637.82
woken,5636.29
baron,5635.03
coupe,5633.15
booze,5632.15
mealy,5630.33
greed,5629.85
steer,5626.8
lanky,5626.7
plier,5625.74
hovel,5625.67
sweet,5622.01
piper,5619.56
loamy,5619.12
gonad,5614.21
folly,5613.13
miser,5612.77
spiel,5611.2
genie,5611.03
patsy,5610.24
woven,5608.29
renew,5590.99
freed,5590.79
sleep,5579.95
sonic,5579.69
carol,5577.09
share,5575.74
bathe,5574.43
tiger,5573.4
silky,5569.8
masse,5566.46
fancy,5564.68
wooly,5560.86
aorta,5559.79
bevel,5556.54
south,5556.5
joker,5555.16
gauge,5555.03
preen,5553.86
posse,5553.16
ladle,5549.5
crate,5548.98
riser,5545.02
penny,5544.87
polar,5540.89
beady,5540.78
badge,5539.66
eerie,5534.92
deity,5534.79
moral,5534.18
leper,5532.51
noise,5529.03
point,5528.96
fable,5527.56
moody,5527.39
booby,5524.7
mouse,5521.36
greet,5520.39
handy,5516.04
coast,5514.93
delay,5513.57
boast,5513.45
savvy,5511.35
merry,5510.24
parka,5506.03
holly,5503.83
aider,5499.41
hasty,5498.47
lease,5495.31
wordy,5481.32
dirty,5480.33
cairn,5479.71
goody,5476.95
perky,5476.43
sieve,5474.78
tawny,5474.01
abyss,5473.1
fewer,5468.52
mania,5465.43
clued,5464.54
tense,5462.25
defer,5461.54
shine,5460.37
novel,5457.59
bezel,5456.86
crane,5456.37
merge,5456.29
truer,5455.43
rouse,5453.61
genre,5453.49
noose,5453.09
faint,5452.76
relay,5450.3
state,5443.41
madly,5442.39
fever,5441.02
belly,5434.7
tonal,5434.38
steel,5433.3
waive,5429.66
copse,5427.81
savor,5427.73
segue,5427.53
toast,5426.08
freer,5421.87
ferry,5420.74
movie,5417.66
sheep,5417.64
lever,5411.99
risen,5410.94
boozy,5406.51
canon,5404.56
rider,5404.46
vowel,5403.27
louse,5402.83
refer,5398.27
moldy,5393.56
repel,5389.79
roomy,5388.58
shone,5384.43
snare,5384.38
curly,5380.83
burly,5379.35
pence,5379.07
hoard,5378.42
riper,5375.24
bossy,5370.47
shire,5370.36
gaudy,5368.21
rebel,5368.04
quiet,5367.69
loopy,5366.59
shake,5365.36
gouge,5365.16
curse,5364.34
molar,5364.32
flier,5359.67
sulky,5359.14
stray,5354.53
caddy,5354.32
borax,5350.88
cruel,5350.78
diary,5349.5
rouge,5347.85
spray,5345.97
tuber,5342.73
alien,5342.29
naive,5338.38
wiser,5337.17
cache,5335.18
shade,5334.97
fiber,5331.74
mauve,5330.71
nasty,5330.39
brief,5329.96
ethos,5329.54
stale,5329.09
green,5326.85
dense,5325.62
creek,5322.78
house,5322.56
cheer,5321.4
piety,5321.33
girly,5320.05
purse,5319.91
voice,5319.61
world,5318.13
diver,5317.99
manor,5317.64
screw,5315.68
rivet,5314.18
curry,5312.53
paddy,5309.89
beard,5309.29
bound,5306.82
noisy,5303.39
skate,5303.06
taunt,5299.86
sissy,5296.8
halve,5296.69
value,5295.87
buyer,5295.83
shore,5294.42
bluer,5294.14
shape,5292.7
slide,5291.9
gassy,5290.38
petty,5289.37
tacky,5288.54
coyly,5288.28
hotly,5287.13
could,5286.59
weary,5286.43
baggy,5283.06
scale,5280.96
serif,5280.56
eagle,5278.57
lapse,5278.15
grate,5277.54
giver,5272.03
basal,5270.66
revel,5269.27
array,5266.3
shame,5263.91
pound,5263.87
stare,5260.79
plate,5255.89
trite,5254.75
river,5254.72
ready,5253.51
gauze,5253.45
minty,5252.86
sixty,5252.53
spare,5252.23
woody,5251.79
brine,5249.51
goofy,5244.84
dirge,5243.76
ripen,5241.16
lathe,5236.38
binge,5235.81
shiny,5234.73
booth,5233.28
leaky,5233.12
fleet,5232.67
boost,5232.13
slice,5231.24
bawdy,5230.6
spite,5229.47
billy,5226.65
roast,5226.18
pasta,5226.12
moron,5225.64
cargo,5221.86
slime,5220.84
level,5218.49
color,5217.36
purge,5214.15
scare,5212.66
jolly,5211.82
mercy,5208.81
creep,5208.26
gayly,5206.71
biome,5205.99
smite,5204.98
satyr,5204.34
salvo,5204.09
liver,5203.94
godly,5202.08
count,5198.84
wider,5196.61
pixel,5195.12
ruder,5193.8
newer,5191.14
faith,5190.07
talon,5184.3
slave,5183.7
mammy,5183.38
guile,5181.44
lousy,5177.19
loath,5176.55
crone,5175.05
snake,5174.0
slope,5173.69
geese,5171.56
bunny,5169.11
duvet,5166.79
raspy,5163.86
never,5163.64
plane,5163.28
daunt,5163.23
