Word,Score
torus,8450.3
bonus,8305.72
saner,7780.45
boney,7609.93
focus,7407.86
minus,7390.7
money,7390.41
locus,7378.83
chaos,7358.69
matey,7232.17
honey,7191.61
cagey,7188.8
virus,7173.95
fetus,7161.14
baler,7027.21
siren,6992.95
safer,6984.69
paler,6984.26
sober,6958.09
panel,6922.17
saute,6909.03
rebus,6898.51
sower,6886.82
covey,6880.15
piney,6871.48
salty,6848.17
cater,6811.99
dopey,6775.19
ficus,6712.36
goner,6698.79
cadet,6638.04
tamer,6610.85
soapy,6607.79
nosey,6582.57
comet,6569.29
sandy,6556.19
caper,6549.36
party,6546.75
borne,6532.86
camel,6506.2
poser,6484.84
harem,6484.65
later,6472.46
taper,6460.51
baker,6455.36
cameo,6433.77
gamer,6428.26
sauce,6424.98
valet,6418.45
parse,6415.94
canoe,6405.46
hater,6392.19
saint,6383.61
taker,6367.99
barge,6353.13
bagel,6352.64
payer,6348.91
sonar,6337.08
salve,6336.84
facet,6320.22
forte,6316.45
water,6315.39
corny,6308.7
covet,6298.43
shied,6297.13
sinew,6292.04
sadly,6283.74
foray,6279.36
ramen,6276.87
cower,6266.47
cover,6238.97
maker,6235.84
taken,6233.91
poker,6222.54
power,6222.04
lager,6208.09
motel,6207.62
solar,6205.67
saucy,6199.34
loser,6189.74
suite,6187.55
tower,6177.62
solid,6160.96
solve,6146.97
caste,6143.91
baste,6142.43
boxer,6127.07
gayer,6121.9
laden,6104.97
coven,6104.89
dicey,6101.59
paste,6099.48
daily,6097.79
warty,6094.58
forty,6090.81
homer,6090.03
cried,6087.75
carve,6079.85
golem,6079.78
tardy,6078.94
super,6073.68
poise,6072.48
bowel,6071.49
savoy,6068.91
gazer,6057.72
rainy,6056.23
layer,6053.81
miner,6053.73
gaily,6051.83
wager,6051.02
diner,6049.25
mower,6045.47
token,6044.04
pried,6043.32
dairy,6029.49
manly,6023.91
farce,6022.27
raise,6018.03
mover,6017.97
large,6015.08
hotel,6008.82
raven,6006.01
surly,6001.18
tried,5998.9
towel,5984.12
boule,5983.01
model,5974.21
spied,5973.62
finer,5964.23
gavel,5963.9
pansy,5958.35
voter,5952.42
fairy,5944.47
candy,5935.84
liner,5935.2
waver,5932.24
cause,5932.23
sound,5928.65
lower,5926.94
slate,5920.67
mange,5901.66
lover,5899.44
early,5897.36
salon,5893.5
foyer,5892.97
filet,5892.28
horny,5888.9
pause,5887.8
women,5879.15
surge,5878.93
dance,5875.34
haven,5874.96
pasty,5873.84
haute,5868.88
wafer,5867.74
singe,5857.64
daisy,5855.66
forge,5854.24
horse,5850.7
dowel,5847.49
cable,5838.06
since,5835.8
hairy,5835.17
range,5833.91
filer,5832.82
force,5832.4
satin,5831.13
pouty,5828.74
palsy,5826.94
hover,5819.17
route,5810.06
tangy,5808.17
board,5796.74
plied,5794.66
bused,5790.55
false,5786.51
horde,5783.76
dozen,5779.73
fried,5777.25
worse,5773.9
lance,5761.29
coral,5755.18
table,5749.21
hardy,5747.99
meaty,5744.65
balmy,5731.89
timer,5725.48
haste,5724.11
paint,5718.83
hazel,5715.86
harpy,5705.72
teary,5694.18
cider,5693.21
waxen,5687.74
today,5687.54
shrew,5678.76
maize,5678.44
oaken,5676.5
mangy,5676.02
skier,5672.91
badly,5661.91
poesy,5660.38
suave,5655.96
foamy,5648.15
navel,5647.46
waste,5647.31
randy,5647.09
shale,5644.04
maple,5638.81
woken,5636.29
baron,5635.03
coupe,5633.15
mealy,5630.33
lanky,5626.7
plier,5625.74
hovel,5625.67
loamy,5619.12
gonad,5614.21
miser,5612.77
spiel,5611.2
patsy,5610.24
woven,5608.29
sonic,5579.69
carol,5577.09
share,5575.74
bathe,5574.43
tiger,5573.4
silky,5569.8
fancy,5564.68
south,5556.5
joker,5555.16
crate,5548.98
polar,5540.89
beady,5540.78
badge,5539.66
deity,5534.79
moral,5534.18
noise,5529.03
point,5528.96
fable,5527.56
mouse,5521.36
handy,5516.04
coast,5514.93
delay,5513.57
boast,5513.45
aider,5499.41
hasty,5498.47
wordy,5481.32
dirty,5480.33
cairn,5479.71
perky,5476.43
tawny,5474.01
clued,5464.54
shine,5460.37
novel,5457.59
crane,5456.37
rouse,5453.61
faint,5452.76
relay,5450.3
madly,5442.39
tonal,5434.38
waive,5429.66
copse,5427.81
savor,5427.73
movie,5417.66
risen,5410.94
vowel,5403.27
louse,5402.83
moldy,5393.56
shone,5384.43
snare,5384.38
curly,5380.83
burly,5379.35
hoard,5378.42
shire,5370.36
gaudy,5368.21
quiet,5367.69
shake,5365.36
curse,5364.34
molar,5364.32
flier,5359.67
sulky,5359.14
stray,5354.53
borax,5350.88
cruel,5350.78
diary,5349.5
rouge,5347.85
spray,5345.97
tuber,5342.73
alien,5342.29
naive,5338.38
wiser,5337.17
shade,5334.97
fiber,5331.74
mauve,5330.71
nasty,5330.39
brief,5329.96
ethos,5329.54
stale,5329.09
house,5322.56
piety,5321.33
girly,5320.05
purse,5319.91
voice,5319.61
world,5318.13
diver,5317.99
manor,5317.64
screw,5315.68
rivet,5314.18
beard,5309.29
bound,5306.82
noisy,5303.39
skate,5303.06
halve,5296.69
value,5295.87
buyer,5295.83
shore,5294.42
bluer,5294.14
shape,5292.7
slide,5291.9
tacky,5288.54
hotly,5287.13
could,5286.59
weary,5286.43
scale,5280.96
serif,5280.56
lapse,5278.15
grate,5277.54
giver,5272.03
shame,5263.91
pound,5263.87
stare,5260.79
plate,5255.89
ready,5253.51
gauze,5253.45
minty,5252.86
sixty,5252.53
spare,5252.23
brine,5249.51
dirge,5243.76
ripen,5241.16
lathe,5236.38
binge,5235.81
shiny,5234.73
leaky,5233.12
slice,5231.24
bawdy,5230.6
spite,5229.47
roast,5226.18
cargo,5221.86
slime,5220.84
purge,5214.15
scare,5212.66
mercy,5208.81
biome,5205.99
smite,5204.98
satyr,5204.34
salvo,5204.09
liver,5203.94
godly,5202.08
count,5198.84
wider,5196.61
pixel,5195.12
faith,5190.07
talon,5184.3
slave,5183.7
guile,5181.44
lousy,5177.19
loath,5176.55
crone,5175.05
snake,5174.0
slope,5173.69
duvet,5166.79
raspy,5163.86
plane,5163.28
daunt,5163.23
bicep,5160.3
brake,5154.5
forth,5153.79
downy,5147.51
shaky,5139.72
given,5137.95
spine,5136.86
sedan,5134.03
prone,5130.62
lumen,5130.06
smote,5129.04
fixer,5122.55
heady,5122.46
gaunt,5117.27
basin,5116.45
blare,5116.22
