Word,Score
sores,11089.44
sanes,11047.36
sales,10915.95
sones,10857.49
soles,10726.08
sates,10699.25
cares,10658.96
bares,10657.48
pares,10614.53
seres,10601.99
sames,10586.96
tares,10570.11
cores,10469.09
bores,10467.61
sades,10465.84
mares,10437.96
sages,10434.88
dares,10433.48
canes,10427.01
banes,10425.53
pores,10424.66
sabes,10414.87
sires,10393.94
gares,10387.52
panes,10382.58
tores,10380.24
rares,10370.21
senes,10370.04
fares,10348.46
sakes,10344.1
lares,10319.43
saves,10316.1
bales,10294.12
soces,10268.65
safes,10251.6
pales,10251.17
mores,10248.09
dores,10243.61
hares,10239.16
seles,10238.63
cones,10237.14
bones,10235.66
sazes,10216.42
tales,10206.75
manes,10206.01
saxes,10205.68
gores,10197.65
pones,10192.71
sures,10183.28
rores,10180.34
wares,10162.36
sines,10161.99
fores,10158.59
sokes,10154.23
tones,10148.29
lores,10129.56
fanes,10116.51
coles,10105.73
boles,10104.25
lanes,10087.48
cates,10078.9
bates,10077.42
males,10074.6
nares,10071.08
dales,10070.12
poles,10061.3
pates,10034.47
siles,10030.58
gales,10024.16
toles,10016.88
rales,10006.85
tates,9990.05
vares,9989.26
cases,9986.05
bases,9984.57
ceres,9981.64
beres,9980.16
kaies,9969.02
cames,9966.61
rones,9948.39
pases,9941.62
peres,9937.21
kores,9932.74
wanes,9930.41
fones,9926.64
semes,9909.64
tases,9897.2
teres,9892.79
kanes,9890.66
cotes,9889.03
botes,9887.55
moles,9884.73
doles,9880.25
tames,9877.76
hales,9875.8
mates,9857.9
dates,9853.42
cades,9845.49
potes,9844.6
soras,9835.94
goles,9834.29
hones,9817.34
roles,9816.98
capes,9816.27
cages,9814.53
sites,9813.88
saris,9812.18
gates,9807.46
totes,9800.18
wales,9799.0
coses,9796.18
paces,9793.74
babes,9793.04
rates,9790.15
sedes,9788.52
comes,9776.74
cires,9773.59
papes,9771.84
pages,9770.1
fates,9768.4
mases,9765.05
slaes,9762.81
meres,9760.64
kales,9759.25
vanes,9757.31
deres,9756.16
poses,9751.75
taces,9749.32
benes,9748.21
yores,9743.15
dames,9741.13
pomes,9732.31
tapes,9727.42
cakes,9723.75
bakes,9722.27
sises,9721.03
moues,9719.95
eales,9716.1
janes,9715.2
gases,9714.61
geres,9710.2
toses,9707.33
tabes,9705.67
penes,9705.26
rases,9697.3
caves,9695.75
games,9695.17
tomes,9687.89
holes,9685.93
tires,9684.74
feres,9671.14
motes,9668.03
dotes,9663.55
tenes,9660.84
hates,9659.1
bayes,9658.77
saros,9657.85
fames,9656.11
codes,9655.62
bodes,9654.14
roues,9652.2
paves,9651.32
nones,9649.26
sorts,9647.39
lases,9646.52
leres,9642.11
takes,9634.9
cafes,9631.25
lames,9627.08
copes,9626.4
vales,9625.9
maces,9617.17
daces,9612.69
sants,9605.31
rotes,9600.28
mages,9593.53
