Word,Score
sauce,435.71
saute,434.93
saves,420.09
soaks,415.47
souse,409.16
seals,402.2
coats,401.83
sorts,400.64
saucy,400.43
sopes,397.84
salty,395.64
shake,394.98
slice,393.07
stale,389.44
shire,387.65
shape,387.17
saver,386.81
brine,379.45
spare,379.32
skate,378.4
raise,377.57
brass,377.47
salad,376.17
carve,375.41
grate,374.94
baste,371.37
farce,368.99
salsa,367.56
slits,367.43
spice,364.15
corer,363.44
fries,363.34
stone,363.24
sieve,362.78
puree,361.53
place,360.96
shank,360.78
plate,360.18
sheet,359.87
cored,359.48
snake,359.48
cools,358.86
shack,358.61
savoy,358.55
party,358.41
cross,356.95
serve,356.74
serge,355.88
shred,355.79
salon,354.45
scone,353.88
boils,353.73
cress,353.38
paint,352.6
beats,351.91
taste,351.21
store,350.59
grass,350.26
moose,350.06
caper,348.85
chile,348.78
shark,348.13
goose,348.06
waits,347.65
based,347.01
chars,346.78
slash,345.38
prune,345.17
maize,344.94
camel,343.15
brand,343.0
dance,343.0
crepe,342.23
loose,342.23
score,341.23
crazy,341.11
three,340.53
creme,340.36
piece,340.18
pride,339.94
board,339.35
grape,339.11
grade,338.94
poach,338.63
prime,338.24
latte,338.21
saunf,337.8
cooks,337.75
press,337.28
stand,337.2
stirs,336.14
dairy,335.99
savor,335.69
pasty,335.53
patty,335.41
spike,335.35
glace,334.31
carol,333.93
booze,333.79
sabra,333.75
paper,332.75
swiss,332.34
pokes,332.15
steel,331.98
stack,331.96
skins,330.84
tater,330.69
toast,329.93
patis,329.87
Dries,329.32
tarry,329.11
spicy,328.87
coral,328.71
sheep,328.07
boxes,328.0
sunny,327.67
cooky,327.33
stall,326.96
solid,326.91
horse,326.82
snaps,326.81
cameo,326.76
bagel,326.18
fried,326.1
large,325.97
stove,325.91
start,325.41
baker,325.38
blade,324.74
snoek,324.01
snack,323.11
brain,323.1
sleep,323.01
table,322.72
foams,322.55
boned,322.39
smoke,322.22
tears,322.05
cepes,321.8
dried,321.66
seven,321.53
baked,321.42
chive,321.31
chana,320.75
super,320.61
tripe,320.51
sharp,320.26
whale,319.95
sweet,319.54
cover,319.2
sized,318.38
morel,318.35
spray,318.24
scald,317.98
baron,317.78
crock,317.24
candy,316.96
small,316.91
grant,316.65
meaty,316.28
roast,316.03
short,316.0
tasty,315.93
grand,315.79
smart,315.36
palak,315.34
penne,314.76
grana,314.35
cheek,314.28
shell,313.98
frank,313.89
raita,313.85
smash,313.74
craft,313.25
rated,312.83
shoot,312.32
mange,312.25
fancy,312.16
brick,312.11
water,311.91
moves,311.73
prick,311.55
broad,311.34
bliss,310.41
ladle,310.36
house,310.3
heats,310.25
green,309.96
fatty,309.93
chard,309.54
drank,309.45
leave,309.35
snail,309.06
glass,308.85
greek,307.88
bread,307.77
harry,307.61
honey,307.55
notes,307.42
dress,307.36
pasta,307.27
swede,307.04
flake,306.68
samba,306.54
belle,306.48
stick,306.31
clove,305.84
packs,305.45
gravy,305.28
peels,304.81
break,304.7
grove,304.5
peach,304.25
pearl,304.03
trail,303.55
pulse,303.44
range,303.4
reese,303.26
piano,303.11
cacao,302.91
wraps,302.52
burns,302.44
laced,301.49
