Word,Score
sauce,435.71
saute,434.93
coats,401.83
saucy,400.43
salty,395.64
shake,394.98
slice,393.07
stale,389.44
shire,387.65
shape,387.17
saver,386.81
brine,379.45
spare,379.32
skate,378.4
raise,377.57
carve,375.41
grate,374.94
baste,371.37
farce,368.99
spice,364.15
fries,363.34
stone,363.24
place,360.96
shank,360.78
plate,360.18
cored,359.48
snake,359.48
shack,358.61
savoy,358.55
party,358.41
shred,355.79
salon,354.45
scone,353.88
boils,353.73
paint,352.6
beats,351.91
store,350.59
caper,348.85
chile,348.78
shark,348.13
waits,347.65
based,347.01
chars,346.78
prune,345.17
maize,344.94
camel,343.15
brand,343.0
dance,343.0
score,341.23
crazy,341.11
pride,339.94
board,339.35
grape,339.11
grade,338.94
poach,338.63
prime,338.24
saunf,337.8
stand,337.2
dairy,335.99
savor,335.69
pasty,335.53
spike,335.35
glace,334.31
carol,333.93
pokes,332.15
stack,331.96
patis,329.87
Dries,329.32
spicy,328.87
coral,328.71
boxes,328.0
solid,326.91
horse,326.82
cameo,326.76
bagel,326.18
fried,326.1
large,325.97
stove,325.91
baker,325.38
blade,324.74
snoek,324.01
snack,323.11
brain,323.1
table,322.72
foams,322.55
boned,322.39
smoke,322.22
tears,322.05
baked,321.42
chive,321.31
super,320.61
tripe,320.51
sharp,320.26
whale,319.95
cover,319.2
sized,318.38
morel,318.35
spray,318.24
scald,317.98
baron,317.78
candy,316.96
grant,316.65
meaty,316.28
roast,316.03
short,316.0
grand,315.79
smart,315.36
frank,313.89
craft,313.25
rated,312.83
mange,312.25
fancy,312.16
brick,312.11
water,311.91
moves,311.73
prick,311.55
broad,311.34
house,310.3
heats,310.25
chard,309.54
drank,309.45
snail,309.06
bread,307.77
honey,307.55
notes,307.42
flake,306.68
stick,306.31
clove,305.84
packs,305.45
gravy,305.28
break,304.7
grove,304.5
peach,304.25
pearl,304.03
trail,303.55
pulse,303.44
range,303.4
piano,303.11
wraps,302.52
burns,302.44
laced,301.49
white,301.21
maker,300.17
blast,299.68
moist,299.23
crisp,299.18
carom,299.12
steak,298.9
spear,298.6
early,298.36
prawn,298.24
panir,298.04
plank,297.96
curly,297.7
halve,297.68
lager,297.48
crust,297.26
court,296.38
black,296.35
carob,296.02
stock,295.9
grain,295.89
smear,295.88
style,295.41
china,295.1
mache,295.03
giant,294.09
trims,293.78
Foils,293.67
broth,293.35
juice,293.22
basil,292.93
capon,292.78
drain,292.62
basin,292.32
glaze,292.23
pound,292.07
mince,290.76
grind,290.14
feast,289.67
layer,289.63
sweat,289.15
bravo,288.9
colby,288.56
cream,288.12
cider,287.94
smith,287.91
broil,287.65
tawny,287.44
sugar,287.43
smoky,286.94
comal,286.81
rotel,286.5
fired,286.34
clear,285.86
crush,285.76
drips,285.33
speck,285.0
groat,284.99
swirl,284.84
chops,284.59
whole,283.89
drink,283.8
dices,283.78
twine,282.61
wafer,282.57
rouge,282.48
bacon,282.42
turns,282.28
bowls,282.21
sport,282.02
skirt,281.81
great,281.42
rinse,281.31
plain,281.13
clean,280.91
thaws,280.52
binge,279.95
chino,279.77
trawl,279.25
Poach,279.13
frost,278.99
hotel,278.9
smelt,278.52
